Date/Time,Total Demand [kWh]
 01/01  01:00:00,19.18793265
 01/01  02:00:00,19.02673734
 01/01  03:00:00,18.83797455
 01/01  04:00:00,18.66919099
 01/01  05:00:00,18.51609288
 01/01  06:00:00,18.36675085
 01/01  07:00:00,18.21590941
 01/01  08:00:00,18.06581786
 01/01  09:00:00,17.91902406
 01/01  10:00:00,17.77053246
 01/01  11:00:00,17.6236235
 01/01  12:00:00,17.47748672
 01/01  13:00:00,17.33793345
 01/01  14:00:00,17.20339529
 01/01  15:00:00,17.07883285
 01/01  16:00:00,16.96175747
 01/01  17:00:00,16.84167133
 01/01  18:00:00,16.72566878
 01/01  19:00:00,16.61002036
 01/01  20:00:00,16.49387781
 01/01  21:00:00,16.37715651
 01/01  22:00:00,16.25851459
 01/01  23:00:00,16.14889658
 01/01  24:00:00,16.04493887
 01/02  01:00:00,15.94113382
 01/02  02:00:00,15.84218719
 01/02  03:00:00,15.74287085
 01/02  04:00:00,15.64045943
 01/02  05:00:00,15.53091616
 01/02  06:00:00,15.42674774
 01/02  07:00:00,15.32524897
 01/02  08:00:00,15.23960754
 01/02  09:00:00,15.1346419
 01/02  10:00:00,15.01971005
 01/02  11:00:00,14.89859709
 01/02  12:00:00,14.7955799
 01/02  13:00:00,14.69474311
 01/02  14:00:00,14.59515337
 01/02  15:00:00,14.50386473
 01/02  16:00:00,14.41747695
 01/02  17:00:00,14.33108683
 01/02  18:00:00,14.2456972
 01/02  19:00:00,14.15947186
 01/02  20:00:00,14.07039931
 01/02  21:00:00,13.97367273
 01/02  22:00:00,13.87913515
 01/02  23:00:00,13.78785554
 01/02  24:00:00,13.70223033
 01/03  01:00:00,13.62048753
 01/03  02:00:00,13.54211791
 01/03  03:00:00,13.47152886
 01/03  04:00:00,13.39651589
 01/03  05:00:00,13.31590108
 01/03  06:00:00,13.23663973
 01/03  07:00:00,13.15665425
 01/03  08:00:00,13.08133704
 01/03  09:00:00,13.00706121
 01/03  10:00:00,12.92778316
 01/03  11:00:00,12.8432371
 01/03  12:00:00,12.77145956
 01/03  13:00:00,12.70361722
 01/03  14:00:00,12.63011753
 01/03  15:00:00,12.56336419
 01/03  16:00:00,12.51241056
 01/03  17:00:00,12.45825672
 01/03  18:00:00,12.40710481
 01/03  19:00:00,12.3475036
 01/03  20:00:00,12.28775023
 01/03  21:00:00,12.22044765
 01/03  22:00:00,12.14964634
 01/03  23:00:00,12.09026875
 01/03  24:00:00,12.02446742
 01/04  01:00:00,11.95332363
 01/04  02:00:00,11.88726597
 01/04  03:00:00,11.82883441
 01/04  04:00:00,11.77747566
 01/04  05:00:00,11.72460947
 01/04  06:00:00,11.67566902
 01/04  07:00:00,11.62856208
 01/04  08:00:00,11.57708176
 01/04  09:00:00,11.52241931
 01/04  10:00:00,11.47063251
 01/04  11:00:00,11.41325107
 01/04  12:00:00,11.36030077
 01/04  13:00:00,11.3109624
 01/04  14:00:00,11.26553365
 01/04  15:00:00,11.22176532
 01/04  16:00:00,11.17832227
 01/04  17:00:00,11.13441208
 01/04  18:00:00,11.09172226
 01/04  19:00:00,11.05706066
 01/04  20:00:00,11.00919454
 01/04  21:00:00,10.96323949
 01/04  22:00:00,10.91721205
 01/04  23:00:00,10.87616651
 01/04  24:00:00,10.83648598
 01/05  01:00:00,10.79570292
 01/05  02:00:00,10.75408308
 01/05  03:00:00,10.71875753
 01/05  04:00:00,10.68347153
 01/05  05:00:00,10.63715066
 01/05  06:00:00,10.59270756
 01/05  07:00:00,10.54960443
 01/05  08:00:00,10.50387836
 01/05  09:00:00,10.46681854
 01/05  10:00:00,10.42649572
 01/05  11:00:00,10.38338285
 01/05  12:00:00,10.33081543
 01/05  13:00:00,10.27452304
 01/05  14:00:00,10.21318339
 01/05  15:00:00,10.17561725
 01/05  16:00:00,10.16254389
 01/05  17:00:00,10.13261575
 01/05  18:00:00,10.09675556
 01/05  19:00:00,10.06793508
 01/05  20:00:00,10.03352256
 01/05  21:00:00,9.995098003
 01/05  22:00:00,9.960534868
 01/05  23:00:00,9.923951866
 01/05  24:00:00,9.890792805
 01/06  01:00:00,9.856453775
 01/06  02:00:00,9.820534406
 01/06  03:00:00,9.785082157
 01/06  04:00:00,9.756380413
 01/06  05:00:00,9.724188859
 01/06  06:00:00,9.693815876
 01/06  07:00:00,9.672862157
 01/06  08:00:00,9.644693215
 01/06  09:00:00,9.601284121
 01/06  10:00:00,9.558950557
 01/06  11:00:00,9.519098141
 01/06  12:00:00,9.480132482
 01/06  13:00:00,9.441876127
 01/06  14:00:00,9.411852472
 01/06  15:00:00,9.389762786
 01/06  16:00:00,9.372612804
 01/06  17:00:00,9.356366563
 01/06  18:00:00,9.339883287
 01/06  19:00:00,9.321786039
 01/06  20:00:00,9.296782162
 01/06  21:00:00,9.262828104
 01/06  22:00:00,9.229569355
 01/06  23:00:00,9.196151818
 01/06  24:00:00,9.164325617
 01/07  01:00:00,9.1487261
 01/07  02:00:00,9.137493641
 01/07  03:00:00,9.120052024
 01/07  04:00:00,9.090173292
 01/07  05:00:00,9.05841008
 01/07  06:00:00,9.034152192
 01/07  07:00:00,9.015871798
 01/07  08:00:00,8.995857243
 01/07  09:00:00,8.972697874
 01/07  10:00:00,8.946862949
 01/07  11:00:00,8.917518038
 01/07  12:00:00,8.887146877
 01/07  13:00:00,8.861461622
 01/07  14:00:00,8.83644318
 01/07  15:00:00,8.813104363
 01/07  16:00:00,8.79550295
 01/07  17:00:00,8.787491824
 01/07  18:00:00,8.777814664
 01/07  19:00:00,8.75180432
 01/07  20:00:00,8.727244325
 01/07  21:00:00,8.711678064
 01/07  22:00:00,8.698176728
 01/07  23:00:00,8.689055772
 01/07  24:00:00,8.675687063
